2025-08-15 00:04:39.393 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Commure
2025-08-15 00:04:39.393 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Decagon
2025-08-15 00:04:39.393 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Decagon
2025-08-15 00:04:39.393 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: BRM
2025-08-15 00:04:39.393 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Observe Inc
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: BRM
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Observe Inc
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Reevo
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Reevo
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: BRM
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ⏰ Scheduling next poll in 5 minutes
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - 🔔 Scheduling next poll in 5 minutes
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-10] INFO  com.jobmonitor.actor.DatabaseActor - 📥 DatabaseActor received GetJobData message for company: BRM
2025-08-15 00:04:39.394 [job-monitor-system-akka.actor.default-dispatcher-10] INFO  com.jobmonitor.actor.DatabaseActor - 🔍 Querying database for job data for company: BRM
2025-08-15 00:04:39.395 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Commure
2025-08-15 00:04:39.395 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Commure
2025-08-15 00:04:39.395 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Commure
2025-08-15 00:04:39.396 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Next poll scheduled successfully for 5 minutes from now
2025-08-15 00:04:39.396 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: Commure
2025-08-15 00:04:39.396 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Polling cycle completed successfully
2025-08-15 00:04:39.396 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Decagon
2025-08-15 00:04:39.397 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Decagon
2025-08-15 00:04:39.397 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Decagon
2025-08-15 00:04:39.397 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📡 Received SchedulePoll message - starting job polling cycle
2025-08-15 00:04:39.397 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: Decagon
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 🏢 Starting to poll 5 companies: BRM, Commure, Decagon, Observe Inc, Reevo
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Observe Inc
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: BRM
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Observe Inc
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: BRM
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Observe Inc
2025-08-15 00:04:39.398 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Commure
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Commure
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: Observe Inc
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Decagon
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Reevo
