2025-08-14 17:56:03.506 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Updating database with raw JSON data for company: Commure
2025-08-14 17:56:03.506 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Received JobDataFound for company: Observe Inc
2025-08-14 17:56:03.506 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Polling Ashby API for raw JSON from company: Observe Inc
2025-08-14 17:56:03.506 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - 🌐 Polling raw JSON from: https://api.ashbyhq.com/posting-api/job-board/observeinc
2025-08-14 17:56:03.507 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - No existing job data found, treating all jobs from new JSON as new
2025-08-14 17:56:03.564 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully parsed 83 jobs from raw JSON response
2025-08-14 17:56:03.564 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Found 83 new jobs for company: Commure by comparing existing JSON with new API response
2025-08-14 17:56:03.564 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Updating database with new JSON response for company: Commure after comparison
2025-08-14 17:56:03.742 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully updated database for company: Commure - Found 83 new jobs, stored new JSON response
2025-08-14 17:56:03.743 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - Raw JSON job data upserted for company: Commure - Success: true, New jobs: 83
2025-08-14 17:56:03.847 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - ✅ Retrieved and validated raw JSON for company observeinc (99118 chars)
2025-08-14 17:56:03.847 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - ✅ Retrieved raw JSON response for company: Observe Inc (99118 characters)
2025-08-14 17:56:03.847 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Updating database with raw JSON data for company: Observe Inc
2025-08-14 17:56:03.848 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Received JobDataFound for company: Reevo
2025-08-14 17:56:03.848 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Polling Ashby API for raw JSON from company: Reevo
2025-08-14 17:56:03.848 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - 🌐 Polling raw JSON from: https://api.ashbyhq.com/posting-api/job-board/reevo
2025-08-14 17:56:03.850 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - No existing job data found, treating all jobs from new JSON as new
2025-08-14 17:56:03.861 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully parsed 9 jobs from raw JSON response
2025-08-14 17:56:03.862 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Found 9 new jobs for company: Observe Inc by comparing existing JSON with new API response
2025-08-14 17:56:03.862 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Updating database with new JSON response for company: Observe Inc after comparison
2025-08-14 17:56:03.876 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully updated database for company: Observe Inc - Found 9 new jobs, stored new JSON response
2025-08-14 17:56:03.877 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - Raw JSON job data upserted for company: Observe Inc - Success: true, New jobs: 9
2025-08-14 17:56:04.142 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.AshbyApiService - ✅ Retrieved and validated raw JSON for company reevo (197412 chars)
2025-08-14 17:56:04.142 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - ✅ Retrieved raw JSON response for company: Reevo (197412 characters)
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Updating database with raw JSON data for company: Reevo
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Received JobDataUpserted for company: Commure - Success: true, New jobs: 83
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Processing 83 new jobs for company: Commure
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Received JobDataUpserted for company: Observe Inc - Success: true, New jobs: 9
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  com.jobmonitor.actor.JobPollerActor - Processing 9 new jobs for company: Observe Inc
2025-08-14 17:56:04.143 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.jobmonitor.actor.JobProcessorActor - Processing 83 new jobs for company: Commure
2025-08-14 17:56:04.144 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.jobmonitor.actor.JobProcessorActor - Processing 9 new jobs for company: Observe Inc
2025-08-14 17:56:04.145 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - No existing job data found, treating all jobs from new JSON as new
2025-08-14 17:56:04.145 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - Analyzing 83 jobs for company Commure with Mistral AI in a single batch request
2025-08-14 17:56:04.145 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Analyzing 83 jobs for company Commure with Mistral AI using automatic batching
2025-08-14 17:56:04.145 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing 83 jobs for company Commure in batches of 20
2025-08-14 17:56:04.145 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 1/5 for company Commure (jobs 1-20)
2025-08-14 17:56:04.148 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully parsed 17 jobs from raw JSON response
2025-08-14 17:56:04.149 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Found 17 new jobs for company: Reevo by comparing existing JSON with new API response
2025-08-14 17:56:04.149 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Updating database with new JSON response for company: Reevo after comparison
2025-08-14 17:56:04.181 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.service.DatabaseService - Successfully updated database for company: Reevo - Found 17 new jobs, stored new JSON response
2025-08-14 17:56:04.182 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Received JobDataUpserted for company: Reevo - Success: true, New jobs: 17
2025-08-14 17:56:04.182 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  com.jobmonitor.actor.DatabaseActor - Raw JSON job data upserted for company: Reevo - Success: true, New jobs: 17
2025-08-14 17:56:04.182 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Processing 17 new jobs for company: Reevo
2025-08-14 17:56:04.182 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.actor.JobProcessorActor - Processing 17 new jobs for company: Reevo
2025-08-14 17:56:17.474 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 1/5 for company Commure - found 20 results
2025-08-14 17:56:18.481 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 2/5 for company Commure (jobs 21-40)
2025-08-14 17:56:20.522 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 2/5 for company Commure - found 2 results
2025-08-14 17:56:21.527 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 3/5 for company Commure (jobs 41-60)
2025-08-14 17:56:27.804 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 3/5 for company Commure - found 5 results
